firstName,lastName,phone,companyName,address1,tags,customField.category,customField.rating,customField.review_count,customField.phone_type,customField.pitch_hook
,,+441619646767,The Shady Oak,"Redford Dr, Bramhall, Stockport SK7 3PG, United Kingdom","no-website,landline,cat-restaurants,bramhall-sk7,high-reviews",restaurants,4.2,192,landline,Your 192 Google reviews show customers love you — imagine if they could find a proper website too
,,+447456839629,MAX DRIVING SCHOOL,,"no-website,mobile,cat-driving-instructors,bramhall-sk7,high-reviews,high-rating",driving instructors,5,186,mobile,Your 186 Google reviews show customers love you — imagine if they could find a proper website too
,,+441614854139,Stables Kitchen,"Stables kitchen, Hall Rd, Bramhall, Stockport SK7 3NX, United Kingdom","no-website,landline,cat-restaurants,bramhall-sk7,high-reviews",restaurants,3.5,167,landline,Your 167 Google reviews show customers love you — imagine if they could find a proper website too
,,+441614399653,The Little Hideout Cafe,"53 N Park Rd, Bramhall, Stockport SK7 3LQ, United Kingdom","no-website,landline,cat-restaurants,bramhall-sk7,high-reviews,high-rating",restaurants,4.8,158,landline,Your 158 Google reviews show customers love you — imagine if they could find a proper website too
,,+447306438010,Select Plastering Solutions,"Tiree Cl, Hazel Grove, Stockport SK7 6AY, United Kingdom","no-website,mobile,cat-plasterers,bramhall-sk7,high-reviews,high-rating",plasterers,5,130,mobile,Your 130 Google reviews show customers love you — imagine if they could find a proper website too
,,+447791661531,OJ driving school,"63 Long Croft Ln, Cheadle Hulme, Cheadle SK8 6SE, United Kingdom","no-website,mobile,cat-driving-instructors,bramhall-sk7,high-reviews,high-rating",driving instructors,4.9,124,mobile,Your 124 Google reviews show customers love you — imagine if they could find a proper website too
,,+447903135170,Future School of Motoring automatic and manual. .,"Kennerley Rd, Stockport SK2, United Kingdom","no-website,mobile,cat-driving-instructors,bramhall-sk7,high-reviews,high-rating",driving instructors,5,116,mobile,Your 116 Google reviews show customers love you — imagine if they could find a proper website too
,,+447515631077,The Lash and Brow Lab,"Beaumaris Cres, Hazel Grove, Stockport SK7 5NG, United Kingdom","no-website,mobile,cat-beauty-salons,bramhall-sk7,high-reviews,high-rating",beauty salons,5,107,mobile,Your 107 Google reviews show customers love you — imagine if they could find a proper website too
,,+441614839760,L M C Auto's,"Lake St, Stockport SK2 7NU, United Kingdom","no-website,landline,cat-car-mechanics,bramhall-sk7,high-reviews,high-rating",car mechanics,4.8,91,landline,Your 91 Google reviews show customers love you — imagine if they could find a proper website too
,,+441613022887,Marjoe's,"18 Bramhall Ln S, Bramhall, Stockport SK7 1AF, United Kingdom","no-website,landline,cat-restaurants,bramhall-sk7,high-reviews,high-rating",restaurants,4.8,88,landline,Your 88 Google reviews show customers love you — imagine if they could find a proper website too
,,+447903831920,Dani Driving School AUTOMATIC,"Cheadle Hulme, Cheadle SK8 6NN, United Kingdom","no-website,mobile,cat-driving-instructors,bramhall-sk7,high-reviews,high-rating",driving instructors,5,83,mobile,Your 83 Google reviews show customers love you — imagine if they could find a proper website too
